event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
UKR171951,"27 August 2024",2024,1,"Political violence",Battles,"Armed clash","Military Forces of Russia (2000-)",,8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Donetsk,Kramatorskyi,Konstantinovskaya,Kostiantynivka,48.5333,37.7166,2,"Deep State; Ministry of Defence of Russia; Ministry of Defence of Ukraine; WarGonzo",Other-National,"On 27 August 2024, Russian Forces launched assault actions on Ukrainian positions near Kostiantynivka, Donetsk. According to Russian sources, 690 Ukrainian soldiers were killed in the area of Hryhorivka, Krasnohorivka, Chasiv Yar, Kostiantynivka, Zaliznianske, Stupochky and Karpivka. [Russian MoD reported 690 fatalities. Coded as 10 fatalities split across 7 events. 1 fatalities coded to this event].",1,,1725414555
UKR171952,"27 August 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force",,8,"Civilians (Ukraine)",,7,78,"Civilian targeting",804,Europe,Ukraine,Kharkiv,Kharkivskyi,Derhachivska,"Kozacha Lopan",50.3319,36.1936,2,"Ministry of Defence of Ukraine; Suspilne Media; Ukrinform",Other-National,"On 27 August 2024, Russian Forces launched air strikes at Kozacha Lopan, Kharkiv, with unguided aerial bombs, damaging houses. 1 civilian was injured.",0,,1725414555
UKR171953,"27 August 2024",2024,1,"Political violence",Battles,"Armed clash","Military Forces of Russia (2000-)",,8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Donetsk,Pokrovskyi,Marinska,Krasnohorivka,48.006,37.5097,2,"Institute for the Study of War; Ministry of Defence of Russia; Ministry of Defence of Ukraine; WarGonzo",Other-National,"On 27 August 2024, Russian Forces launched assault actions on Ukrainian positions near Krasnohorivka, Donetsk. According to Russian sources, 690 Ukrainian soldiers were killed in the area of Hryhorivka, Krasnohorivka, Chasiv Yar, Kostiantynivka, Zaliznianske, Stupochky and Karpivka. [Russian MoD reported 690 fatalities. Coded as 10 fatalities split across 7 events. 2 fatalities coded to this event].",2,,1725414555
UKR171954,"27 August 2024",2024,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-)",,8,,,0,80,,804,Europe,Ukraine,Sumy,Sumskyi,Kpasnopilska,Krasnopillia,50.7746,35.2597,1,"Ministry of Defence of Ukraine",Other,"On 27 August 2024, Russian Forces shelled Krasnopillia, Sumy, with suspected 152mm artillery, damaging a critical infrastructure object and a house. Casualties unknown.",0,,1725414555
UKR171955,"27 August 2024",2024,1,"Strategic developments","Strategic developments","Disrupted weapons use","Military Forces of Ukraine (2019-)",,1,"Military Forces of Russia (2000-) Air Force",,8,18,,804,Europe,Ukraine,Kirovograd,Kropyvnytskyi,Kropyvnytska,Kropyvnytskyi,48.5153,32.2545,3,"Flot 2017; Institute for the Study of War; Ministry of Defence of Ukraine; Novoye Vremya Ukraine; Ukrinform",Other-National,"Interception: On 27 August 2024, Russian Forces launched 81 Shahed-136/131 drones, five Kh-101 missiles, three Kh-47 Kinzhal missile, an Iskander-M and an Iskander-K missiles against targets in Ukraine. Ukrainian Forces intercepted all five Kh-101 missiles and 60 drones, some of them over Kirovograd region (coded to Kropyvnytskyi, Kirovograd). No casualties.",0,,1725414555
UKR171956,"27 August 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force",,8,,,0,80,,804,Europe,Ukraine,Kharkiv,Kupianskyi,Kupianska,Kupiansk-Vuzlovyi,49.6604,37.6439,1,"Ministry of Defence of Ukraine",Other,"On 27 August 2024, Russian Forces launched air strikes at Kupiansk-Vuzlovyi, Kharkiv. Casualties unknown.",0,,1725414555
UKR171957,"27 August 2024",2024,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,"Military Forces of Russia (2000-) 1st Donetsk Army Corps",,8,18,,804,Europe,Ukraine,Donetsk,Pokrovskyi,Kurakhivska,Kurakhivka,48.0307,37.3728,1,"DPR Armed Forces Press Service",Other,"On 27 August 2024, Ukrainian Forces shelled Russian Donetsk Army Forces in Kurakhivka, Donetsk, with 155mm artillery. Casualties unknown.",0,,1725414555
UKR171958,"27 August 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force","Military Forces of Russia (2000-)",8,,,0,80,,804,Europe,Ukraine,"Kyiv City",Kyiv,,Kyiv,50.4496,30.5224,3,"24 Channel; Flot 2017; Institute for the Study of War; Ministry of Defence of Ukraine; Novoye Vremya Ukraine; Ukrinform; Unian",Other-National,"On 27 August 2024, Russian Forces launched 81 Shahed-136/131 drones, five Kh-101 missiles, three Kh-47 Kinzhal missile, an Iskander-M and an Iskander-K missiles against targets in Ukraine. Ukrainian Forces intercepted all five Kh-101 missiles and 60 drones, some of them over Kyiv region (coded to Kyiv, Kyiv). Fallen debris of the downed drones caused several fires in forest park areas. No casualties.",0,,1725414555
UKR171959,"27 August 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force","Military Forces of Russia (2000-)",8,,,0,80,,804,Europe,Ukraine,Zaporizhia,Polohivskyi,Malynivska,Levadne,47.7457,36.5958,1,"061.ua; Suspilne Media",Subnational-National,"On 27 August 2024, Russian Forces launched drone strikes and shelled Levadne, Zaporizhia, with artillery. Casualties unknown.",0,,1725414555
UKR171960,"27 August 2024",2024,1,"Political violence",Battles,"Armed clash","Military Forces of Russia (2000-)",,8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Donetsk,Pokrovskyi,Novohrodivska,Lisivka,48.0965,37.3796,2,"Ministry of Defence of Russia",National,"On 27 August 2024, Russian Forces clashed with Ukrainian Forces near Lisivka, Donetsk. According to Russian sources, 475 Ukrainian soldiers were killed in the area of Toretsk, Mykhailivka, Karlivka, Hrodivka, Rozivka, Druzhba, Halytsynivka and Lisivka. [Russian MoD reported 475 fatalities. Coded as 10 fatalities split across 8 events. 1 fatalities coded to this event].",1,,1725414555
